T,800 ℃,950 ℃
δ,0.125-0.25,0.125-0.25
Sr0.125Ca0.125La0.625K0.125Ti1,2.25125,2.18863
Sr0.125Ca0.25K0.125Sm0.5Ti1,2.18334,2.11792
Sr0.125Ca0.25K0.125Y0.5Ti1,2.17815,2.10697
Sr0.125Ca0.25K0.25Sm0.375Ti1,2.14904,2.08947
Sr0.125Ca0.25K0.25Y0.375Ti1,2.11703,2.05292
Sr0.125Ca0.25La0.375K0.25Ti1,2.17181,2.10975
Sr0.125Ca0.25La0.5K0.125Ti1,2.22888,2.16736
Sr0.125Ca0.25Sm0.625Co0.625Ti0.375,2.65755,2.52873
Sr0.125Ca0.375K0.125Sm0.375Ti1,2.17984,2.11819
Sr0.125Ca0.375K0.125Y0.375Ti1,2.1462,2.08298
Sr0.125Ca0.375K0.25Y0.25Ti1,2.11368,2.05596
Sr0.125Ca0.375La0.375K0.125Ti1,2.19704,2.13242
Sr0.125Ca0.375La0.5Fe0.25.75,2.68543,2.55065
Sr0.125Ca0.375Sm0.5Cu0.5Ti0.5,2.69774,2.57587
Sr0.125Ca0.375Sm0.5Fe0.25.75,2.43808,2.31158
Sr0.125Ca0.375Sm0.5Mg0.5Ti0.5,2.73774,2.61849
Sr0.125Ca0.375Y0.5Cu0.5Ti0.5,2.63791,2.51471
Sr0.125Ca0.375Y0.5Fe0.25.75,2.38396,2.25355
Sr0.125Ca0.375Y0.5Mg0.5Ti0.5,2.70927,2.58677
Sr0.125Ca0.375Y0.5Ni0.5Ti0.5,2.73879,2.61302
Sr0.125Ca0.5K0.125Sm0.25Ti1,2.07693,2.0112
Sr0.125Ca0.5K0.125Y0.25Ti1,2.04932,1.98231
Sr0.125Ca0.5La0.25K0.125Ti1,2.11579,2.05203
Sr0.125Ca0.5La0.375Fe0.25.75,2.45648,2.32675
Sr0.125Ca0.5Sm0.375Fe0.25.75,2.24444,2.11526
Sr0.125Ca0.5Y0.375Co0.5Ti0.5,2.71421,2.59116
Sr0.125Ca0.5Y0.375Cu0.5Ti0.5,2.53616,2.41267
Sr0.125Ca0.5Y0.375Fe0.25.75,2.19041,2.05819
Sr0.125Ca0.5Y0.375Mg0.5Ti0.5,2.63455,2.50977
Sr0.125Ca0.5Y0.375Mn0.5Ti0.5,2.73292,2.60814
Sr0.125Ca0.5Y0.375Ni0.5Ti0.5,2.59415,2.46839
Sr0.125Ca0.625K0.125Sm0.125Ti1,2.07687,2.01145
Sr0.125Ca0.625K0.125Y0.125Ti1,2.04926,1.98256
Sr0.125Ca0.625La0.125K0.125Ti1,2.0659,2.00036
Sr0.125Ca0.625La0.25Fe0.25.75,2.31609,2.18687
Sr0.125Ca0.625Sm0.25Fe0.25.75,2.18772,2.05526
Sr0.125Ca0.625Y0.25Fe0.125.875,2.73256,2.57021
