T,800 ℃,800 ℃,800 ℃,950 ℃,950 ℃,950 ℃
δ,0.25-0.375,0.3125-0.4375,0.375-0.5,0.25-0.375,0.3125-0.4375,0.375-0.5
Ba0.25La0.75Cu0.5Ni0.125Ti0.375,2.15555,2.22039,2.28522,2.03255,2.0801,2.12766
Ba0.25La0.75Fe0.125Cu0.5Ti0.375,2.19516,2.34188,2.48861,2.08128,2.20337,2.32546
Ba0.25La0.75Fe0.125Mn0.625Ti0.25,2.05165,2.35216,2.65267,1.92886,2.21286,2.49687
Ba0.25La0.75Fe0.25Cu0.375Ti0.375,2.12499,2.36724,2.60948,2.01449,2.23117,2.44785
Ba0.25La0.75Mn0.5Mg0.25Ti0.25,1.94946,2.31837,2.68729,1.83096,2.1813,2.53164
Ba0.25La0.75Mn0.625Mg0.125Ti0.25,2.02319,2.3583,2.69342,1.90188,2.22065,2.53942
Ba0.25La0.75Mn0.625Ni0.125Ti0.25,1.98864,2.31601,2.64339,1.86966,2.17934,2.48901
Ba0.25Y0.125Sm0.625Mg0.625Ti0.375,2.2086,2.4577,2.70679,2.07815,2.31496,2.55177
Ba0.25Y0.25Sm0.5Mg0.625Ti0.375,2.22857,2.4564,2.68424,2.09688,2.31278,2.52868
Ba0.25Y0.375Sm0.375Mg0.625Ti0.375,2.31198,2.49648,2.68099,2.18291,2.35233,2.52175
Ba0.25Y0.5Sm0.25Mg0.625Ti0.375,2.25117,2.47578,2.70039,2.12265,2.33062,2.53859
Ba0.375Ca0.125La0.5Co0.625Ti0.375,2.42202,2.56082,2.69962,2.28992,2.41252,2.53513
Ba0.375Ca0.125La0.5Mg0.625Ti0.375,2.01265,2.29493,2.57721,1.88789,2.15581,2.42374
Ba0.375Ca0.125La0.5Ni0.625Ti0.375,2.1211,2.41684,2.71258,1.99163,2.27241,2.5532
Ba0.375Ca0.125Sm0.5Ni0.625Ti0.375,2.12942,2.42657,2.72372,1.98978,2.2765,2.56323
Ba0.375Ca0.125Y0.5Mg0.625Ti0.375,1.97713,2.2438,2.51047,1.84596,2.09842,2.35088
Ba0.375Ca0.25K0.375Fe0.125.875,2.35833,2.34767,2.33702,2.21952,2.20313,2.19069
Ba0.375Ca0.25La0.375Fe0.5Ti0.5,2.32577,2.52848,2.73118,2.18436,2.37993,2.57549
Ba0.375Ca0.25La0.375Mg0.625Ti0.375,2.1854,2.43264,2.67988,2.06032,2.29249,2.52465
Ba0.375Ca0.25Sm0.375Co0.625Ti0.375,2.17356,2.30138,2.42921,2.0377,2.15505,2.2724
Ba0.375Ca0.25Sm0.375Mn0.625Ti0.375,2.14261,2.3039,2.4652,2.00308,2.15652,2.30996
Ba0.375Ca0.25Sm0.375Ni0.625Ti0.375,1.97087,2.16587,2.36086,1.83192,2.01823,2.20453
Ba0.375Ca0.375La0.25Co0.625Ti0.375,2.11729,2.32169,2.5261,1.9941,2.17928,2.36447
Ba0.375Ca0.375La0.25Mg0.625Ti0.375,2.11729,2.32169,2.5261,1.9941,2.17928,2.36447
Ba0.375Ca0.375La0.25Mn0.625Ti0.375,2.11293,2.32181,2.5307,1.98886,2.17882,2.36879
Ba0.375Ca0.375La0.25Ni0.625Ti0.375,2.09948,2.3158,2.53213,1.97583,2.17296,2.37009
Ba0.375Ca0.5K0.125Co0.5Ti0.5,2.0647,2.30442,2.54413,1.92471,2.1579,2.39133
Ba0.375Ca0.5K0.125Cu0.5Ti0.5,2.0647,2.30442,2.54413,1.92471,2.1579,2.39133
Ba0.375Ca0.5K0.125Mg0.5Ti0.5,2.0647,2.30442,2.54413,1.92471,2.1579,2.39133
Ba0.375Ca0.5K0.125Mn0.5Ti0.5,2.0647,2.30442,2.54413,1.92471,2.1579,2.39133
Ba0.375Ca0.5K0.125Ni0.5Ti0.5,2.0647,2.30442,2.54413,1.92471,2.1579,2.39133
Ba0.375Ca0.5La0.125Co0.5Ti0.5,2.56431,2.63858,2.71285,2.42415,2.49192,2.55969
Ba0.375Ca0.5La0.125Cu0.5Ti0.5,2.56431,2.63858,2.71285,2.42415,2.49192,2.55969
Ba0.375Ca0.5La0.125Mg0.5Ti0.5,2.56431,2.63858,2.71285,2.42415,2.49192,2.55969
Ba0.375Ca0.5La0.125Mn0.5Ti0.5,2.56431,2.63858,2.71285,2.42415,2.49192,2.55969
Ba0.375Ca0.5La0.125Ni0.5Ti0.5,2.56431,2.63858,2.71285,2.42415,2.49192,2.55969
Ba0.375Ca0.5Sm0.125Co0.5Ti0.5,2.58975,2.66244,2.73512,2.44968,2.51668,2.58367
Ba0.375Ca0.5Sm0.125Cu0.5Ti0.5,2.58975,2.66244,2.73512,2.44968,2.51668,2.58367
Ba0.375Ca0.5Sm0.125Mg0.5Ti0.5,2.58975,2.66244,2.73512,2.44968,2.51668,2.58367
Ba0.375Ca0.5Sm0.125Mn0.5Ti0.5,2.58975,2.66244,2.73512,2.44968,2.51668,2.58367
Ba0.375Ca0.5Sm0.125Ni0.5Ti0.5,2.58975,2.66244,2.73512,2.44968,2.51668,2.58367
Ba0.375Ca0.5Y0.125Co0.5Ti0.5,2.59151,2.61129,2.63107,2.45035,2.46335,2.47636
Ba0.375Ca0.5Y0.125Cu0.5Ti0.5,2.59151,2.61129,2.63107,2.45035,2.46335,2.47636
Ba0.375Ca0.5Y0.125Mg0.5Ti0.5,2.59151,2.61129,2.63107,2.45035,2.46335,2.47636
Ba0.375Ca0.5Y0.125Mn0.5Ti0.5,2.59151,2.61129,2.63107,2.45035,2.46335,2.47636
Ba0.375Ca0.5Y0.125Ni0.5Ti0.5,2.59151,2.61129,2.63107,2.45035,2.46335,2.47636
Ba0.375Ca0.625Co0.125Cu0.375Ti0.5,2.5727,2.60778,2.64286,2.43269,2.46132,2.48994
Ba0.375Ca0.625Co0.125Mg0.375Ti0.5,2.5727,2.60778,2.64286,2.43269,2.46132,2.48994
Ba0.375Ca0.625Co0.125Mn0.375Ti0.5,2.5727,2.60778,2.64286,2.43269,2.46132,2.48994
Ba0.375Ca0.625Co0.125Ni0.375Ti0.5,2.5727,2.60778,2.64286,2.43269,2.46132,2.48994
Ba0.375Ca0.625Co0.25Cu0.25Ti0.5,2.5727,2.60778,2.64286,2.43269,2.46132,2.48994
Ba0.375Ca0.625Co0.25Mg0.25Ti0.5,2.5727,2.60778,2.64286,2.43269,2.46132,2.48994
Ba0.375Ca0.625Co0.25Mn0.25Ti0.5,2.5727,2.60778,2.64286,2.43269,2.46132,2.48994
Ba0.375Ca0.625Co0.25Ni0.25Ti0.5,2.5727,2.60778,2.64286,2.43269,2.46132,2.48994
Ba0.375Ca0.625Co0.375Cu0.125Ti0.5,2.5727,2.60778,2.64286,2.43269,2.46132,2.48994
Ba0.375Ca0.625Co0.375Mg0.125Ti0.5,2.5727,2.60778,2.64286,2.43269,2.46132,2.48994
Ba0.375Ca0.625Co0.375Mn0.125Ti0.5,2.5727,2.60778,2.64286,2.43269,2.46132,2.48994
Ba0.375Ca0.625Co0.375Ni0.125Ti0.5,2.5727,2.60778,2.64286,2.43269,2.46132,2.48994
Ba0.375Ca0.625Cu0.125Mg0.375Ti0.5,2.5727,2.60778,2.64286,2.43269,2.46132,2.48994
Ba0.375Ca0.625Cu0.125Mn0.375Ti0.5,2.5727,2.60778,2.64286,2.43269,2.46132,2.48994
Ba0.375Ca0.625Cu0.125Ni0.375Ti0.5,2.5727,2.60778,2.64286,2.43269,2.46132,2.48994
Ba0.375Ca0.625Cu0.25Mg0.25Ti0.5,2.5727,2.60778,2.64286,2.43269,2.46132,2.48994
Ba0.375Ca0.625Cu0.25Mn0.25Ti0.5,2.5727,2.60778,2.64286,2.43269,2.46132,2.48994
Ba0.375Ca0.625Cu0.25Ni0.25Ti0.5,2.5727,2.60778,2.64286,2.43269,2.46132,2.48994
Ba0.375Ca0.625Cu0.375Mg0.125Ti0.5,2.5727,2.60778,2.64286,2.43269,2.46132,2.48994
Ba0.375Ca0.625Cu0.375Mn0.125Ti0.5,2.5727,2.60778,2.64286,2.43269,2.46132,2.48994
Ba0.375Ca0.625Cu0.375Ni0.125Ti0.5,2.5727,2.60778,2.64286,2.43269,2.46132,2.48994
Ba0.375Ca0.625Fe0.125Co0.375Ti0.5,2.63176,2.60371,2.57565,2.49343,2.46008,2.42673
Ba0.375Ca0.625Fe0.125Cu0.375Ti0.5,2.63176,2.60371,2.57565,2.49343,2.46008,2.42673
Ba0.375Ca0.625Fe0.125Mg0.375Ti0.5,2.63176,2.60371,2.57565,2.49343,2.46008,2.42673
Ba0.375Ca0.625Fe0.125Mn0.375Ti0.5,2.63176,2.60371,2.57565,2.49343,2.46008,2.42673
Ba0.375Ca0.625Fe0.125Ni0.375Ti0.5,2.63176,2.60371,2.57565,2.49343,2.46008,2.42673
